Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable
?a  sourceMountain  ?b   ,?a  sourcePlace  ?b,1,1,1,179,179,179,?a
?a  distributingLabel  ?b   ,?a  distributingCompany  ?b,1,1,1,946,946,946,?a
?b  operator  ?a   ,?a  operator  ?b,0.01754386,0.01754386,1,4,228,4,?a
?b  lieutenant  ?a   ,?a  governor  ?b,0.277936963,0.932692308,1,97,104,97,?a
?b  knownFor  ?a   ,?a  breeder  ?b,0.016393443,0.00309119,1,2,647,2,?a
?a  mouthPlace  ?b   ,?a  mouthMountain  ?b,1,1,1,261,261,261,?a
?b  isPartOf  ?a   ,?a  metropolitanBorough  ?b,0.073170732,0.000380872,1,9,23630,9,?a
?a  musicalArtist  ?b   ,?a  musicalBand  ?b,1,1,1,3018,3018,3018,?b
?a  owner  ?b   ,?a  owningCompany  ?b,0.387943262,0.45735786,1,547,1196,547,?a
?a  operator  ?b   ,?a  tenant  ?b,0.084249084,0.100877193,1,23,228,23,?b
?a  musicalBand  ?b   ,?a  musicalArtist  ?b,1,1,1,3018,3018,3018,?b
?a  mouthMountain  ?b   ,?a  mouthPlace  ?b,1,1,1,261,261,261,?a
?a  position  ?b   ,?a  honours  ?b,0.011312217,0.001749475,1,5,2858,5,?a
?a  patron  ?b   ,?a  notableCommander  ?b,0.011494253,0.1875,1,3,16,3,?b
?a  officialLanguage  ?b   ,?a  language  ?b,0.066024436,1,1,281,281,281,?a
?a  regionalLanguage  ?b   ,?a  language  ?b,0.010103383,1,1,43,43,43,?a
?a  city  ?b   ,?a  federalState  ?b,0.038461538,0.001453911,1,5,3439,5,?a
?b  servingRailwayLine  ?a   ,?a  routeStart  ?b,0.02020202,0.8,1,4,5,4,?b
?a  owningCompany  ?b   ,?a  owner  ?b,0.45735786,0.387943262,1,547,1410,547,?a
?b  nextEvent  ?a   ,?a  previousEvent  ?b,0.621359223,0.984615385,1,64,65,64,?a
?b  sisterNewspaper  ?a   ,?a  sisterNewspaper  ?b,1,1,1,182,182,182,?a
?a  stateOfOrigin  ?b   ,?a  nationality  ?b,0.341939755,1,1,1033,1033,1033,?a
?a  country  ?b   ,?a  locationCountry  ?b,0.547158404,0.03358569,1,905,26946,905,?a
?a  distributingCompany  ?b   ,?a  distributingLabel  ?b,1,1,1,946,946,946,?a
