Body,Head,Head_Coverage,Standard_Confidence,Pca_Confidence,Support,Body_Size,Pca_Body_Size,Functional_variable
?b  sibling  ?a   ,?a  sibling  ?b,1,1,1,316,316,316,?a
?b  successor  ?a   ,?a  predecessor  ?b,1,1,1,471,471,471,?b
?b  predecessor  ?a   ,?a  successor  ?b,1,1,1,471,471,471,?a
?b  name  ?a   ,?a  name  ?b,0.193959,0.193959,1,122,629,122,?a
?a  father  ?b   ,?a  parent  ?b,0.531073,1,1,658,658,658,?b
?a  mother  ?b   ,?a  parent  ?b,0.430993,1,1,534,534,534,?b
?f  name  ?a  ?b  sibling  ?f   ,?a  sibling  ?b,0.113924,0.138996,1,36,259,36,?a
?a  name  ?f  ?b  sibling  ?f   ,?a  sibling  ?b,0.113924,1,1,36,36,36,?a
?b  name  ?f  ?f  sibling  ?a   ,?a  sibling  ?b,0.113924,1,1,36,36,36,?a
?b  name  ?f  ?a  sibling  ?f   ,?a  sibling  ?b,0.113924,1,1,36,36,36,?a
?a  name  ?e  ?e  sibling  ?b   ,?a  sibling  ?b,0.113924,1,1,36,36,36,?a
?e  name  ?a  ?e  sibling  ?b   ,?a  sibling  ?b,0.113924,0.138996,1,36,259,36,?a
?b  spouse  ?a  ?a  successor  ?b   ,?a  spouse  ?b,0.010417,1,1,12,12,12,?a
?b  spouse  ?a  ?b  successor  ?a   ,?a  spouse  ?b,0.010417,1,1,12,12,12,?a
?b  predecessor  ?a  ?b  spouse  ?a   ,?a  spouse  ?b,0.010417,1,1,12,12,12,?a
?a  predecessor  ?b  ?b  spouse  ?a   ,?a  spouse  ?b,0.010417,1,1,12,12,12,?a
?f  name  ?a  ?b  name  ?f   ,?a  name  ?b,0.193959,0.976,1,122,125,122,?a
?f  name  ?b  ?a  name  ?f   ,?a  name  ?b,0.198728,1,1,125,125,125,?a
?e  name  ?a  ?e  name  ?b   ,?a  name  ?b,0.198728,0.218914,1,125,571,125,?a
?f  gender  ?b  ?a  name  ?f   ,?a  gender  ?b,0.119161,1,1,125,125,125,?a
?e  gender  ?b  ?e  name  ?a   ,?a  gender  ?b,0.119161,0.22482,1,125,556,125,?a
?b  spouse  ?a   ,?a  spouse  ?b,0.998264,0.998264,0.999131,1150,1152,1151,?a
?f  father  ?b  ?a  sibling  ?f   ,?a  parent  ?b,0.169492,0.995261,0.995261,210,211,211,?b
?e  father  ?b  ?e  sibling  ?a   ,?a  parent  ?b,0.169492,0.995261,0.995261,210,211,211,?b
?e  father  ?a  ?e  mother  ?b   ,?a  spouse  ?b,0.342014,0.920561,0.992443,394,428,397,?a
?f  child  ?b  ?a  name  ?f   ,?a  child  ?b,0.166052,0.990566,0.990566,315,318,318,?b
?e  father  ?b  ?a  sibling  ?e   ,?a  father  ?b,0.31307,0.976303,0.990385,206,211,208,?a
?e  father  ?b  ?e  sibling  ?a   ,?a  father  ?b,0.31307,0.976303,0.990385,206,211,208,?a
?e  father  ?b  ?e  mother  ?a   ,?a  spouse  ?b,0.342882,0.922897,0.989975,395,428,399,?a
?a  mother  ?e  ?e  name  ?b   ,?a  parent  ?b,0.096852,0.45283,0.983607,120,265,122,?b
?e  father  ?b  ?a  name  ?e   ,?a  father  ?b,0.162614,0.981651,0.981651,107,109,109,?a
?e  father  ?b  ?e  name  ?a   ,?a  father  ?b,0.162614,0.186411,0.981651,107,574,109,?a
?f  father  ?b  ?a  name  ?f   ,?a  parent  ?b,0.08636,0.981651,0.981651,107,109,109,?b
?a  name  ?f  ?f  parent  ?b   ,?a  parent  ?b,0.157385,0.979899,0.979899,195,199,199,?b
?f  name  ?b  ?a  parent  ?f   ,?a  parent  ?b,0.117837,0.197832,0.979866,146,738,149,?b
?a  mother  ?f  ?b  name  ?f   ,?a  mother  ?b,0.224719,0.97561,0.97561,120,123,123,?a
?a  mother  ?f  ?b  name  ?f   ,?a  parent  ?b,0.096852,0.97561,0.97561,120,123,123,?b
?e  mother  ?b  ?a  name  ?e   ,?a  mother  ?b,0.144195,0.974684,0.974684,77,79,79,?a
?e  mother  ?b  ?e  name  ?a   ,?a  mother  ?b,0.144195,0.170732,0.974684,77,451,79,?a
?f  mother  ?b  ?a  name  ?f   ,?a  parent  ?b,0.062147,0.974684,0.974684,77,79,79,?b
?b  name  ?f  ?a  parent  ?f   ,?a  parent  ?b,0.117837,0.966887,0.966887,146,151,151,?b
?b  name  ?f  ?a  spouse  ?f   ,?a  spouse  ?b,0.114583,0.963504,0.963504,132,137,137,?a
?a  name  ?f  ?b  spouse  ?f   ,?a  spouse  ?b,0.114583,0.963504,0.963504,132,137,137,?a
?a  name  ?f  ?f  spouse  ?b   ,?a  spouse  ?b,0.114583,0.963504,0.963504,132,137,137,?a
?b  name  ?f  ?f  spouse  ?a   ,?a  spouse  ?b,0.114583,0.963504,0.963504,132,137,137,?a
