Shape,Result,Number,Time
<http://synthetic-LC.org/lungCancer/shapes/Protocol19>,valid,10962,100.04464554786682
<http://synthetic-LC.org/lungCancer/shapes/Protocol22>,valid,14490,135.12292742729187
<http://synthetic-LC.org/lungCancer/shapes/Protocol19>,valid,10771,100.0436441898346
<http://synthetic-LC.org/lungCancer/shapes/Protocol17>,valid,8422,83.4179093837738
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9143,91.73699688911438
<http://synthetic-LC.org/lungCancer/shapes/Protocol7>,valid,22843,203.48988366127014
<http://synthetic-LC.org/lungCancer/shapes/Protocol6>,valid,21665,194.7216556072235
<http://synthetic-LC.org/lungCancer/shapes/Protocol16>,violated,7062,74.84748888015747
<http://synthetic-LC.org/lungCancer/shapes/Protocol6>,valid,21488,194.7216556072235
<http://synthetic-LC.org/lungCancer/shapes/Protocol7>,valid,22893,203.48988366127014
<http://synthetic-LC.org/lungCancer/shapes/Protocol10>,valid,1416,18.09144878387451
<http://synthetic-LC.org/lungCancer/shapes/Protocol3>,valid,18131,168.76320791244507
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15578,144.26450562477112
<http://synthetic-LC.org/lungCancer/shapes/Protocol1>,valid,794,8.001542806625366
<http://synthetic-LC.org/lungCancer/shapes/Protocol24>,valid,16388,152.82374501228333
<http://synthetic-LC.org/lungCancer/shapes/Protocol9>,valid,24321,221.27966904640198
<http://synthetic-LC.org/lungCancer/shapes/Protocol13>,valid,4958,47.868614196777344
<http://synthetic-LC.org/lungCancer/shapes/Protocol24>,valid,16256,152.82374501228333
<http://synthetic-LC.org/lungCancer/shapes/Protocol21>,valid,13978,126.39234948158264
<http://synthetic-LC.org/lungCancer/shapes/Protocol14>,valid,5407,56.889453649520874
<http://synthetic-LC.org/lungCancer/shapes/Protocol16>,valid,7269,74.8484878540039
<http://synthetic-LC.org/lungCancer/shapes/Protocol24>,valid,16243,152.82374501228333
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15504,144.26354002952576
<http://synthetic-LC.org/lungCancer/shapes/Protocol4>,valid,19220,176.57638835906982
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9973,91.73999667167664
<http://synthetic-LC.org/lungCancer/shapes/Protocol10>,valid,1524,18.09144878387451
