Shape,Result,Number,Time
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,697,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,507,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,629,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,460,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,488,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,199,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1241,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1852,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,101,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1383,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1466,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1348,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,414,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,820,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1511,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1093,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1380,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1970,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2053,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2082,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,426,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1895,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1518,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,228,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1776,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2017,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,436,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1430,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1112,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1126,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1906,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1765,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1715,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,891,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,370,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,893,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1496,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,785,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1608,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,907,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1907,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,164,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,328,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1338,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1218,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,673,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2117,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1240,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,511,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1892,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1412,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,475,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2100,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,495,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,106,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1446,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1212,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,951,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1705,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,329,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,774,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2210,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1053,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2049,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1308,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1154,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1019,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,327,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1761,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,608,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,173,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,76,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1521,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1534,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,578,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1655,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1955,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1650,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,524,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1943,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,223,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1627,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1908,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1336,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1819,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1406,12.774948120117188
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1100,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,597,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,800,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1008,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,violated,128,12.770954847335815
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,318,12.771959066390991
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2203,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2169,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1849,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,708,12.772954225540161
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1016,12.773914813995361
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,2163,12.776952505111694
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1707,12.775948524475098
<http://FrenchRoyalty.org/shapes/FatherWithChildConstraint>,valid,1282,12.774948120117188
